18/02/2020_'12:31:21', ["'Yin Yin - The Rabbit That Hunts Tigers'", "'Kroy Wen (Alternative)'"]
18/02/2020_'12:27:07', ['"JKriv - Férias \'77 Reworks"', "'Era Um Era (JKriv Rework)'"]
18/02/2020_'12:20:53', ["'Marcia Maria'", "'Meu amigo Branco (Bernardo Pin'"]
18/02/2020_'12:15:49', ["'Rick Wade - Dsl New'", "'Shinjuku Strut (Original Mix) (Other)'"]
18/02/2020_'12:04:58', ["'Drop Out Orchestra - We Are Dropouts'", "'Future Past (reprise)'"]
18/02/2020_'11:58:48', ["'Dj Vas - Vas Is More Vol.2'", "'DJ VAS - Winners (Funk)'"]
18/02/2020_'11:51:30', ["'Pontchartrain - Another Love'", "'Get over You (Original Mix) (Other)'"]
18/02/2020_'11:45:04', ["'Skyy - Skyy'", "'First Time Around (Dance)'"]
18/02/2020_'13:00:04', ["'Roy Ayers - Disco Tech Edits'", "'The Memory (Disco Tech edit)'"]
18/02/2020_'12:56:19', ['"Letta Mbulu - Beach Diggin\' Vol 2"', "'Namalizo'"]
18/02/2020_'12:52:00', ["'B-Jam - Tales From the City, Vol. 4'", '"Now I\'m Back"']
18/02/2020_'12:46:38', ["'Dynamicron - Black Lace Vol3'", "'xxx  80'"]
18/02/2020_'12:40:52', ["'Suave - Under the Influence Vol.7 compiled by Winston'", "'Salsa Gon Gitcha (Funk  Soul (80s Disco) R)'"]
18/02/2020_'12:36:30', ["'Crystal Winds - Rainer Trüby presents Soulgliding'", "'Lovers Holiday'"]
18/02/2020_'12:33:50', ["'Derya Yildirim  Grup Simsek - Kar Yagar'", "'Kar Yagar (Folk, Rock, Psychedelia, Turkey)'"]
18/02/2020_'12:31:21', ["'Yin Yin - The Rabbit That Hunts Tigers'", "'Kroy Wen (Alternative)'"]
18/02/2020_'12:27:07', ['"JKriv - Férias \'77 Reworks"', "'Era Um Era (JKriv Rework)'"]
18/02/2020_'12:20:53', ["'Marcia Maria'", "'Meu amigo Branco (Bernardo Pin'"]
18/02/2020_'13:18:02', ["'Paul Johnson - Alex Attias presents LillyGood Party!'", "'Better Than This (Soul Talk Remix) (Disco)'"]
