16/02/2020_'18:09:43', ["'Jay Airiness'", "'Smooth Flyin'"]
16/02/2020_'18:08:01', ["'Jennifer Lara - Studio One Women'", "'I Am in Love (Reggae)'"]
16/02/2020_'18:04:42', ["'Electric Machine - Disco Fashion'", "'Space Ship (Electronic, Funk / Soul)'"]
16/02/2020_'17:56:40', ["'Late Nite Tuff Guy'", "'Do U Wanna Get Down (Original Mix) (Indie Dance / Nu Disco)'"]
16/02/2020_'17:48:15', ["'Fingerman - Chewy Fingers EP'", "'Hit on you (chewy rubs  fingerman edit)'"]
16/02/2020_'17:42:33', ["'Vaughan Mason And Butch Dayo - Feel My Love'", "'Feel My Love (Funk)'"]
16/02/2020_'17:37:31', ["'Flowchart - Disco Tape, Vol. 1'", "'Ask the Boss (Remix) (Disco)'"]
16/02/2020_'17:30:32', ["'Dolette McDonald - Sunshine Boogie Skate Party'", "'Xtra Special (r boogie / 80s /)'"]
16/02/2020_'17:25:18', ["'LS Movement Band - Supafunkanova Vol 2'", "'Move (Funk, Soul, Disco)'"]
